series,episode,baker,signature_bake,show_stopper,baker_age,baker_occupation,hometown,technical,result
6,6,Nadiya,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,NA,NA,NA,4,IN
6,7,Nadiya,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,NA,NA,NA,1,IN
6,8,Nadiya,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,NA,NA,NA,1,STAR BAKER
6,9,Nadiya,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,NA,NA,NA,4,STAR BAKER
6,10,Nadiya,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,NA,NA,NA,1,WINNER
5,1,Nancy,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,NA,NA,NA,1,STAR BAKER
5,2,Nancy,Fennel and Rye Thins,Hansel and Gretel Scene,NA,NA,NA,2,IN
5,3,Nancy,Cider and Walnut Crusty Rolls,'Full English' Stromboli,NA,NA,NA,5,IN
5,4,Nancy,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,NA,NA,NA,4,IN
5,5,Nancy,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,NA,NA,NA,4,IN
5,6,Nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,NA,NA,NA,1,IN
5,7,Nancy,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,NA,NA,NA,2,IN
5,8,Nancy,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",NA,NA,NA,3,IN
5,9,Nancy,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,NA,NA,NA,3,IN
5,10,Nancy,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,NA,NA,NA,1,WINNER
3,1,Natasha,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,NA,NA,NA,12,OUT
5,1,Norman,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,NA,NA,NA,11,IN
5,2,Norman,Farthing Biscuits,Zulu Boats at Dawn,NA,NA,NA,10,IN
5,3,Norman,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,NA,NA,NA,4,IN
5,4,Norman,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,NA,NA,NA,8,IN
5,5,Norman,Tarte au Citron,Pieful Tower,NA,NA,NA,5,OUT
6,1,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,NA,NA,NA,10,IN
6,2,Paul,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,NA,NA,NA,10,IN
6,3,Paul,Cranberry and Orange Sweet Soda Breads,King of the Jungle,NA,NA,NA,10,IN
6,4,Paul,Almond Crème Brûlées,Berry Cheesecake Tower,NA,NA,NA,1,IN
6,5,Paul,Carrot & Pecan Cake,Dessert Island Getaway,NA,NA,NA,2,IN
6,6,Paul,Christmas Frangipane Tart,Savoury and Sweet Bouchées,NA,NA,NA,5,IN
6,7,Paul,Not a Boaring Pie,Charlotte Rose,NA,NA,NA,2,IN
6,8,Paul,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,NA,NA,NA,5,OUT
3,1,Peter,"Pear, Muscat & Chocolate",Jubilee Cake,NA,NA,NA,3,IN
3,2,Peter,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",NA,NA,NA,11,OUT
8,1,Peter,Coconut Cake,'Bread on a Breadboard' Cake,NA,NA,NA,10,OUT
7,1,Rav,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,NA,NA,NA,8,IN
7,2,Rav,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,NA,NA,NA,6,IN
7,3,Rav,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,NA,NA,NA,10,IN
7,4,Rav,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,NA,NA,NA,9,IN
7,5,Rav,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,NA,NA,NA,8,IN
7,6,Rav,Mandarin Margarita Meringue Pie,Blossom Cake,NA,NA,NA,3,OUT
5,1,Richard,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,NA,NA,NA,10,IN
5,2,Richard,Rosemary Seeded Crackers,Pirates!,NA,NA,NA,1,STAR BAKER
5,3,Richard,Rye and Cranberry Rolls,Pesto Pinwheel,NA,NA,NA,6,IN
5,4,Richard,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,NA,NA,NA,5,STAR BAKER
5,5,Richard,Fig and Orange Tart,Three Course Autumn Pie Feast,NA,NA,NA,7,IN
5,6,Richard,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,NA,NA,NA,5,IN
5,7,Richard,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",NA,NA,NA,1,STAR BAKER
5,8,Richard,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,NA,NA,NA,4,STAR BAKER
5,9,Richard,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,NA,NA,NA,2,STAR BAKER
5,10,Richard,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,NA,NA,NA,3,Runner-up
2,1,Robert,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,NA,NA,NA,3,IN
2,2,Robert,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",NA,NA,NA,5,IN
2,3,Robert,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,NA,NA,NA,4,IN
2,4,Robert,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,NA,NA,NA,7,IN
2,5,Robert,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,NA,NA,NA,3,OUT
4,1,Robert,Pecan and Apple Cake,Raspberry Chocolate Cake,NA,NA,NA,1,STAR BAKER
4,2,Robert,Twisty Rye Bread Sticks,Tribute Loaf,NA,NA,NA,5,IN
4,3,Robert,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,NA,NA,NA,2,IN
4,4,Robert,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms,NA,NA,NA,3,IN
4,5,Robert,Blueberry & Orange Traybake,Dalek,NA,NA,NA,4,OUT
4,1,Ruby,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,NA,NA,NA,12,IN
4,2,Ruby,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,NA,NA,NA,3,STAR BAKER
4,3,Ruby,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,NA,NA,NA,3,IN
4,4,Ruby,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",NA,NA,NA,6,IN
4,5,Ruby,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,NA,NA,NA,6,IN
4,6,Ruby,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,NA,NA,NA,1,STAR BAKER
4,7,Ruby,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,NA,NA,NA,2,IN
4,8,Ruby,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,NA,NA,NA,1,STAR BAKER
4,9,Ruby,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",NA,NA,NA,4,IN
4,10,Ruby,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",NA,NA,NA,2,Runner-up
1,1,Ruth,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,NA,NA,NA,NA,IN
1,2,Ruth,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,NA,NA,NA,5,IN
1,3,Ruth,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",NA,NA,NA,2,IN
1,4,Ruth,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",NA,NA,NA,4,IN
1,5,Ruth,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",NA,NA,NA,3,IN
1,6,Ruth,"Mint, Ginger and Blackberry Cake",NA,NA,NA,NA,NA,Runner-up
3,1,Ryan,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,NA,NA,NA,8,IN
3,2,Ryan,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",NA,NA,NA,5,IN
3,3,Ryan,Spiced Pear Tarte Tatin,UNKNOWN,NA,NA,NA,5,IN
3,4,Ryan,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",NA,NA,NA,7,IN
3,5,Ryan,Curry Spiced Seabass Wellington,Key Lime Pie,NA,NA,NA,8,STAR BAKER
3,6,Ryan,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",NA,NA,NA,6,IN
3,7,Ryan,Lardy Cakes,Char Siu Bao,NA,NA,NA,6,OUT
6,1,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,NA,NA,NA,9,IN
6,2,Sandy,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,NA,NA,NA,4,IN
6,3,Sandy,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,NA,NA,NA,7,IN
6,4,Sandy,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",NA,NA,NA,6,OUT
3,1,Sarah-Jane,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,NA,NA,NA,1,IN
3,2,Sarah-Jane,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,NA,NA,NA,10,IN
3,3,Sarah-Jane,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,NA,NA,NA,8,IN
3,4,Sarah-Jane,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,NA,NA,NA,4,IN
3,5,Sarah-Jane,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,NA,NA,NA,4,IN
3,6,Sarah-Jane,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,NA,NA,NA,4,IN
3,7,Sarah-Jane,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,NA,NA,NA,7,OUT
7,1,Selasi,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",NA,NA,NA,1,IN
7,2,Selasi,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,NA,NA,NA,11,IN
7,3,Selasi,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,NA,NA,NA,5,IN
7,4,Selasi,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,NA,NA,NA,8,IN
7,5,Selasi,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",NA,NA,NA,3,IN
7,6,Selasi,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,NA,NA,NA,7,IN
7,7,Selasi,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",NA,NA,NA,6,IN
7,8,Selasi,Bouquet of Flowers,Fruity Tudor Marchpane,NA,NA,NA,3,IN
7,9,Selasi,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,NA,NA,NA,4,OUT
2,1,Simon,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,NA,NA,NA,9,IN
2,2,Simon,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",NA,NA,NA,11,OUT
8,1,Sophie,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,NA,NA,NA,5,IN
8,2,Sophie,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,NA,NA,NA,2,IN
8,3,Sophie,Tagine Teacakes,'Picnic Basket' Bread Sculpture,NA,NA,NA,6,IN
8,4,Sophie,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,NA,NA,NA,4,IN
8,5,Sophie,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",NA,NA,NA,1,STAR BAKER
8,6,Sophie,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,NA,NA,NA,2,IN
8,7,Sophie,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,NA,NA,NA,3,IN
8,8,Sophie,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,NA,NA,NA,4,IN
8,9,Sophie,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,NA,NA,NA,1,STAR BAKER
8,10,Sophie,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,NA,NA,NA,2,WINNER
8,1,Stacey,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,NA,NA,NA,11,IN
8,2,Stacey,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,NA,NA,NA,9,IN
8,3,Stacey,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,NA,NA,NA,1,IN
8,4,Stacey,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,NA,NA,NA,1,IN
8,5,Stacey,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,NA,NA,NA,4,IN
8,6,Stacey,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,NA,NA,NA,6,IN
8,7,Stacey,My All Time Favourite Desserts,Pastry Surprise,NA,NA,NA,4,IN
8,8,Stacey,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,NA,NA,NA,3,STAR BAKER
8,9,Stacey,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,NA,NA,NA,2,OUT
8,1,Steven,Bonfire Night Cake,'A Baker's Lunch' Cake,NA,NA,NA,6,STAR BAKER
8,2,Steven,Amarpressi Biscuits,'Check Bake' Game,NA,NA,NA,6,STAR BAKER
8,3,Steven,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,NA,NA,NA,3,IN
8,4,Steven,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,NA,NA,NA,7,IN
8,5,Steven,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,NA,NA,NA,5,IN
8,6,Steven,'Fleetwood Mac' Decorative Pies,Christmas Pie,NA,NA,NA,3,IN
8,7,Steven,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,NA,NA,NA,1,STAR BAKER
8,8,Steven,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,NA,NA,NA,1,IN
8,9,Steven,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,NA,NA,NA,3,IN
8,10,Steven,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,NA,NA,NA,1,Runner-up
6,1,Stu,Marley Madeira Cake,Purple Forest Gâteau,NA,NA,NA,11,OUT
3,1,Stuart,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,NA,NA,NA,9,IN
3,2,Stuart,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",NA,NA,NA,9,IN
3,3,Stuart,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,NA,NA,NA,7,IN
3,4,Stuart,Black Forest Torte,Choca Blocka Mocha Meringue,NA,NA,NA,8,OUT
6,1,Tamal,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,NA,NA,NA,4,IN
6,2,Tamal,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,NA,NA,NA,8,IN
6,3,Tamal,"Fig, Cheese and Walnut Breads",Breadcycle,NA,NA,NA,3,IN
6,4,Tamal,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",NA,NA,NA,5,IN
6,5,Tamal,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,NA,NA,NA,7,IN
6,6,Tamal,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,NA,NA,NA,7,IN
6,7,Tamal,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",NA,NA,NA,3,STAR BAKER
6,8,Tamal,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,NA,NA,NA,4,IN
6,9,Tamal,Chocolate New York Pie,Chocolate Bell Tower,NA,NA,NA,2,IN
6,10,Tamal,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,NA,NA,NA,3,Runner-up
4,1,Toby,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,NA,NA,NA,13,OUT
7,1,Tom,G&T Drizzle Cake,Black Forest Broken Mirror,NA,NA,NA,2,IN
7,2,Tom,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,NA,NA,NA,7,IN
7,3,Tom,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,NA,NA,NA,4,STAR BAKER
7,4,Tom,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,NA,NA,NA,5,IN
7,5,Tom,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,NA,NA,NA,4,IN
7,6,Tom,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,NA,NA,NA,1,STAR BAKER
7,7,Tom,Millionaire's Roulade,Hipster Picnic,NA,NA,NA,5,OUT
8,1,Tom,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,NA,NA,NA,7,IN
8,2,Tom,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,NA,NA,NA,5,IN
8,3,Tom,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,NA,NA,NA,4,IN
8,4,Tom,Stem Ginger Caramel Shortbreads,Hummingbird Cake,NA,NA,NA,5,OUT
6,1,Ugnė,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,NA,NA,NA,1,IN
6,2,Ugnė,White Wine Biscotti,Baby Climbing into the Cookie Box,NA,NA,NA,7,IN
6,3,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,NA,NA,NA,5,IN
6,4,Ugnė,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",NA,NA,NA,2,IN
6,5,Ugnė,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",NA,NA,NA,6,OUT
2,1,Urvashi,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,NA,NA,NA,7,IN
2,2,Urvashi,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,NA,NA,NA,7,IN
2,3,Urvashi,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,NA,NA,NA,9,OUT
7,1,Val,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,NA,NA,NA,10,IN
7,2,Val,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,NA,NA,NA,5,IN
7,3,Val,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",NA,NA,NA,1,IN
7,4,Val,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,NA,NA,NA,6,IN
7,5,Val,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",NA,NA,NA,7,OUT
3,1,Victoria,Pear and Pecan,Blackbird Pie Cake,NA,NA,NA,4,STAR BAKER
3,2,Victoria,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",NA,NA,NA,7,IN
3,3,Victoria,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,NA,NA,NA,4,OUT
8,1,Yan,Windfall Apple Crumble Cake,'Banana-ramen' Cake,NA,NA,NA,4,IN
8,2,Yan,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,NA,NA,NA,1,IN
8,3,Yan,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,NA,NA,NA,8,IN
8,4,Yan,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,NA,NA,NA,8,IN
8,5,Yan,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,NA,NA,NA,6,IN
8,6,Yan,'πr2' Decorative Pies,Chequerboard Pie,NA,NA,NA,1,IN
8,7,Yan,Cannoli Cocktails,Canadian-Style Sfogliatelle,NA,NA,NA,5,OUT
2,1,Yasmin,Cardamom and Pomegranate Cupcakes,UNKNOWN,NA,NA,NA,5,IN
2,2,Yasmin,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,NA,NA,NA,6,IN
2,3,Yasmin,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",NA,NA,NA,2,STAR BAKER
2,4,Yasmin,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,NA,NA,NA,6,IN
2,5,Yasmin,Family Fish Pie,Peach and Raspberry Meringue Pie,NA,NA,NA,5,IN
2,6,Yasmin,Baked Amaretto Cheesecake,Rose Croquembouche,NA,NA,NA,2,OUT
